year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2016,11219,ZCTA5 11219,96287,63410,1164,24033,12102,0,ACS 2016 5-year (ZCTA)
2016,11220,ZCTA5 11220,101006,26415,2499,41620,42298,0,ACS 2016 5-year (ZCTA)
2016,11221,ZCTA5 11221,84034,23951,46216,3087,30885,0,ACS 2016 5-year (ZCTA)
2016,11222,ZCTA5 11222,35695,29256,1078,2129,4706,0,ACS 2016 5-year (ZCTA)
2016,11223,ZCTA5 11223,79730,50499,3301,18293,10740,0,ACS 2016 5-year (ZCTA)
2016,11224,ZCTA5 11224,43444,25657,9622,3041,8070,0,ACS 2016 5-year (ZCTA)
2016,11225,ZCTA5 11225,60323,13819,41065,1479,5913,0,ACS 2016 5-year (ZCTA)
2016,11226,ZCTA5 11226,101787,12784,71548,3266,17589,0,ACS 2016 5-year (ZCTA)
2016,11228,ZCTA5 11228,46164,27447,397,15761,5129,0,ACS 2016 5-year (ZCTA)
2016,11229,ZCTA5 11229,82914,56556,4341,16722,8638,0,ACS 2016 5-year (ZCTA)
2016,11230,ZCTA5 11230,88933,61733,6709,12746,8510,0,ACS 2016 5-year (ZCTA)
2016,11231,ZCTA5 11231,36302,24286,4709,1818,7501,0,ACS 2016 5-year (ZCTA)
2016,11232,ZCTA5 11232,29387,10808,1510,5866,16103,0,ACS 2016 5-year (ZCTA)
2016,11233,ZCTA5 11233,72159,4827,58003,1158,11249,0,ACS 2016 5-year (ZCTA)
2016,11234,ZCTA5 11234,95546,40757,44689,5281,9655,0,ACS 2016 5-year (ZCTA)
2016,11235,ZCTA5 11235,78237,60703,2191,11056,6596,0,ACS 2016 5-year (ZCTA)
2016,11236,ZCTA5 11236,100049,5437,87209,2722,6014,0,ACS 2016 5-year (ZCTA)
2016,11237,ZCTA5 11237,53678,28141,9790,3987,36441,0,ACS 2016 5-year (ZCTA)
2016,11238,ZCTA5 11238,53992,22757,22744,3232,6396,0,ACS 2016 5-year (ZCTA)
2016,11239,ZCTA5 11239,12468,3821,7428,326,2248,0,ACS 2016 5-year (ZCTA)
2016,11354,ZCTA5 11354,58551,12974,2049,35477,10352,0,ACS 2016 5-year (ZCTA)
2016,11355,ZCTA5 11355,82028,10317,2817,60445,10553,0,ACS 2016 5-year (ZCTA)
2016,11356,ZCTA5 11356,24405,8632,496,7751,9434,0,ACS 2016 5-year (ZCTA)
2016,11357,ZCTA5 11357,39259,28368,198,8199,5446,0,ACS 2016 5-year (ZCTA)
2016,11358,ZCTA5 11358,37461,16358,434,16785,6243,0,ACS 2016 5-year (ZCTA)
2016,11360,ZCTA5 11360,19309,12697,326,4986,2614,0,ACS 2016 5-year (ZCTA)
2016,11361,ZCTA5 11361,29322,14824,743,11427,4433,0,ACS 2016 5-year (ZCTA)
2016,11362,ZCTA5 11362,18198,9374,437,7404,1765,0,ACS 2016 5-year (ZCTA)
2016,11363,ZCTA5 11363,7577,4584,92,2252,1316,0,ACS 2016 5-year (ZCTA)
2016,11364,ZCTA5 11364,35068,14614,1020,17793,2930,0,ACS 2016 5-year (ZCTA)
2016,11365,ZCTA5 11365,44617,15988,2637,19835,8451,0,ACS 2016 5-year (ZCTA)
2016,11366,ZCTA5 11366,14042,6552,729,5952,1222,0,ACS 2016 5-year (ZCTA)
2016,11367,ZCTA5 11367,42663,24409,3885,10629,6874,0,ACS 2016 5-year (ZCTA)
2016,11368,ZCTA5 11368,112982,46903,13664,12840,83843,0,ACS 2016 5-year (ZCTA)
2016,11369,ZCTA5 11369,37823,9284,5989,5356,23908,0,ACS 2016 5-year (ZCTA)
2016,11370,ZCTA5 11370,34445,13677,5017,7732,12934,0,ACS 2016 5-year (ZCTA)
2016,11372,ZCTA5 11372,64109,39641,1613,12926,38225,0,ACS 2016 5-year (ZCTA)
2016,11373,ZCTA5 11373,96616,28730,2277,48112,38262,0,ACS 2016 5-year (ZCTA)
2016,11374,ZCTA5 11374,43158,25900,1432,11981,8177,0,ACS 2016 5-year (ZCTA)
2016,11375,ZCTA5 11375,71159,44992,2251,18997,9808,0,ACS 2016 5-year (ZCTA)
2016,11377,ZCTA5 11377,90883,44454,2262,33736,35435,0,ACS 2016 5-year (ZCTA)
2016,11378,ZCTA5 11378,33270,24882,640,3409,10391,0,ACS 2016 5-year (ZCTA)
2016,11379,ZCTA5 11379,36082,29305,471,3715,6957,0,ACS 2016 5-year (ZCTA)
2016,11385,ZCTA5 11385,103372,85096,2329,6947,44865,0,ACS 2016 5-year (ZCTA)
2016,11411,ZCTA5 11411,19300,438,17834,129,1041,0,ACS 2016 5-year (ZCTA)
2016,11412,ZCTA5 11412,37802,856,33102,936,2507,401,ACS 2016 5-year (ZCTA)
2016,11413,ZCTA5 11413,42699,1013,38947,503,2531,0,ACS 2016 5-year (ZCTA)
2016,11414,ZCTA5 11414,28247,22442,512,1170,6225,0,ACS 2016 5-year (ZCTA)
2016,11415,ZCTA5 11415,19308,11576,1225,3779,4348,0,ACS 2016 5-year (ZCTA)
2016,11416,ZCTA5 11416,27144,7582,1597,9351,11545,0,ACS 2016 5-year (ZCTA)
2016,11417,ZCTA5 11417,31742,12044,2184,9212,12470,0,ACS 2016 5-year (ZCTA)
2016,11418,ZCTA5 11418,39908,15643,2887,10130,18157,0,ACS 2016 5-year (ZCTA)
2016,11419,ZCTA5 11419,51642,6074,8965,15127,10164,11312,ACS 2016 5-year (ZCTA)
2016,11420,ZCTA5 11420,50549,8854,12545,12562,12284,4304,ACS 2016 5-year (ZCTA)
2016,11421,ZCTA5 11421,43341,20987,1904,8799,24734,0,ACS 2016 5-year (ZCTA)
2016,11422,ZCTA5 11422,33408,2213,29185,503,2667,0,ACS 2016 5-year (ZCTA)
2016,11423,ZCTA5 11423,31823,4461,12134,9005,4376,1847,ACS 2016 5-year (ZCTA)
