year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2024,11414,ZCTA5 11414,31308,20040,1626,1408,7948,286,ACS 2024 5-year (ZCTA)
2024,11415,ZCTA5 11415,21154,9177,1399,4427,5283,868,ACS 2024 5-year (ZCTA)
2024,11416,ZCTA5 11416,25919,3544,1455,8486,11517,917,ACS 2024 5-year (ZCTA)
2024,11417,ZCTA5 11417,30578,6089,2369,8598,11725,1797,ACS 2024 5-year (ZCTA)
2024,11418,ZCTA5 11418,35481,7980,2659,8621,14483,1738,ACS 2024 5-year (ZCTA)
2024,11419,ZCTA5 11419,47441,2130,5404,15096,11361,13450,ACS 2024 5-year (ZCTA)
2024,11420,ZCTA5 11420,49415,3040,9972,15536,10016,10851,ACS 2024 5-year (ZCTA)
2024,11421,ZCTA5 11421,40612,7594,2310,8257,22894,0,ACS 2024 5-year (ZCTA)
2024,11422,ZCTA5 11422,33757,2135,26784,483,3052,1303,ACS 2024 5-year (ZCTA)
2024,11423,ZCTA5 11423,28534,2862,8952,8963,5061,2696,ACS 2024 5-year (ZCTA)
2024,11426,ZCTA5 11426,19411,4415,1094,9624,3659,619,ACS 2024 5-year (ZCTA)
2024,11427,ZCTA5 11427,24607,3628,5737,8965,4170,2107,ACS 2024 5-year (ZCTA)
2024,11428,ZCTA5 11428,19028,1801,3638,6312,4894,2383,ACS 2024 5-year (ZCTA)
2024,11429,ZCTA5 11429,26832,1102,17253,2198,3997,2282,ACS 2024 5-year (ZCTA)
2024,11432,ZCTA5 11432,62892,8095,11199,25548,13760,4290,ACS 2024 5-year (ZCTA)
2024,11433,ZCTA5 11433,37884,707,19280,7919,5880,4098,ACS 2024 5-year (ZCTA)
2024,11434,ZCTA5 11434,68263,1585,53507,2599,7843,2729,ACS 2024 5-year (ZCTA)
2024,11435,ZCTA5 11435,56826,6846,13404,13710,17127,5739,ACS 2024 5-year (ZCTA)
2024,11436,ZCTA5 11436,22527,266,12749,1736,3215,4561,ACS 2024 5-year (ZCTA)
2024,11691,ZCTA5 11691,69359,18605,28283,2707,18666,1098,ACS 2024 5-year (ZCTA)
2024,11692,ZCTA5 11692,22734,2423,13439,1497,5272,103,ACS 2024 5-year (ZCTA)
2024,11693,ZCTA5 11693,13244,6764,3400,438,2658,0,ACS 2024 5-year (ZCTA)
2024,11694,ZCTA5 11694,21489,16610,1346,406,3624,0,ACS 2024 5-year (ZCTA)
2024,11697,ZCTA5 11697,4429,4294,16,26,1,92,ACS 2024 5-year (ZCTA)
